Feature,Importance
Income,0.18517694696976245
CTR,0.17034823218321365
Clicks_CTR,0.14816372099568714
Age_Income,0.13570309546121032
Age,0.07283149852666586
Click_Month,0.04747451826472515
Click_DayOfWeek,0.047173633794001406
Clicks,0.03146695286106579
Gender_Male,0.014722870271331479
Age_Group_36-45,0.011900727019270398
Ad Placement_Social Media,0.011113812616794672
Location_Suburban,0.01062245289734914
Ad Type_Native,0.01012799503013042
Location_Urban,0.010113552276976858
Ad Topic_Finance,0.01005842432874186
